Microsoft-Windows-Deployment/Generalize/Mode , https://msdn.microsoft.com/en-us/windows/hardware/commercialize/customize/desktop/unattend/microsoft-windows-deployment-generalize-mode
Microsoft-Windows-Deployment/Reseal , https://msdn.microsoft.com/en-us/windows/hardware/commercialize/customize/desktop/unattend/microsoft-windows-deployment-reseal
Microsoft-Windows-Deployment/Reseal/ForceShutdownNow , https://msdn.microsoft.com/en-us/windows/hardware/commercialize/customize/desktop/unattend/microsoft-windows-deployment-reseal-forceshutdownnow
Microsoft-Windows-Deployment/Reseal/Mode , https://msdn.microsoft.com/en-us/windows/hardware/commercialize/customize/desktop/unattend/microsoft-windows-deployment-reseal-mode
Microsoft-Windows-Deployment/RunAsynchronous , https://msdn.microsoft.com/en-us/windows/hardware/commercialize/customize/desktop/unattend/microsoft-windows-deployment-runasynchronous
Microsoft-Windows-Deployment/RunAsynchronous/RunAsynchronousCommand , https://msdn.microsoft.com/en-us/windows/hardware/commercialize/customize/desktop/unattend/microsoft-windows-deployment-runasynchronous-runasynchronouscommand
Microsoft-Windows-Deployment/RunAsynchronous/RunAsynchronousCommand/Credentials , https://msdn.microsoft.com/en-us/windows/hardware/commercialize/customize/desktop/unattend/microsoft-windows-deployment-runsynchronous-runsynchronouscommand-credentials
Microsoft-Windows-Deployment/RunAsynchronous/RunAsynchronousCommand/Credentials/Domain , https://msdn.microsoft.com/en-us/windows/hardware/commercialize/customize/desktop/unattend/microsoft-windows-deployment-runasynchronous-runasynchronouscommand-credentials-domain
Microsoft-Windows-Deployment/RunAsynchronous/RunAsynchronousCommand/Credentials/Password , https://msdn.microsoft.com/en-us/windows/hardware/commercialize/customize/desktop/unattend/microsoft-windows-deployment-runasynchronous-runasynchronouscommand-credentials-password
Microsoft-Windows-Deployment/RunAsynchronous/RunAsynchronousCommand/Credentials/Username , https://msdn.microsoft.com/en-us/windows/hardware/commercialize/customize/desktop/unattend/microsoft-windows-deployment-runasynchronous-runasynchronouscommand-credentials-username
